ResidenceZipCode	PartyName	VBMReturnStatus	VBMReturnChallenge	ChallengeDiscription
94965	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94930	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94930	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94939	American Independent	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94920	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	American Independent	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Libertarian	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94965	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94925	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94965	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94925	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94930	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94925	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94925	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94945	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	Green	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94937	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	American Independent	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94945	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94965	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94920	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94920	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94930	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94920	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94920	American Independent	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94973	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94920	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94930	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94970	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94945	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94965	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94957	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94930	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94939	American Independent	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	American Independent	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	American Independent	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94945	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94925	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94920	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94945	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94956	We the People Party of California	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	Other	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94920	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	American Independent	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94920	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94920	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94957	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94925	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94930	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94965	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94939	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94930	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94965	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94939	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94945	American Independent	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94920	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94939	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94957	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94957	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94925	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Libertarian	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94945	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94920	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94970	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94925	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94939	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94945	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94930	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94939	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94930	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94946	Other	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	American Independent	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94925	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94920	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94925	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94925	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94952	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94945	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94939	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94920	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94939	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94945	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94945	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94925	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94920	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94930	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94904	American Independent	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	Libertarian	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94920	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
